word,mine,Salah
deferring,-1,-1
terbinafine,-1,0
jambiya,0,0
controversy,-1,-1
circumferences,-1,0
conductivities,-1,0
kidd,1,0
crowdpleasing,1,1
neurologist,0,0
rhizoctonia,-1,0
tootling,1,1
spotty,-1,-1
tuberoses,0,0
frentic,1,1
lyssavirus,-1,-1
cobblers,0,0
topography,0,0
projection,-1,0
overtasked,-1,-1
sters,0,0
orangish,1,0
airball,0,0
stero,-1,-1
stern,-1,0
councilwomen,0,0
nanopharmaceuticals,1,0
cymryd,1,0
clubrooms,0,0
antidandruff,-1,0
dng,-1,0
dnf,1,0
dna,-1,0
totheir,1,1
dnc,1,0
dnb,0,0
insecurity,-1,-1
pegnivacogin,-1,0
sooks,-1,-1
sidebars,0,0
dnt,-1,-1
sinasabing,1,-1
oncourse,1,1
dnp,1,0
dns,-1,0
distortions,-1,-1
reasserting,1,0
voyageur,0,0
sermons,0,0
ungulates,0,0
spaying,0,0
pegmatites,0,0
duals,0,1
skewness,-1,0
borstal,0,0
populations,0,0
mesmerize,1,1
hermana,1,0
yahoo,0,0
unrisked,1,0
meteorologist,0,0
expeditionary,1,1
antitumoral,-1,0
hermano,1,0
shelties,0,0
voicework,-1,0
obturation,-1,0
uncopyrighted,-1,0
blustering,-1,0
listenin,-1,-1
intake,0,0
morally,-1,-1
deafblindness,1,0
tinkle,0,0
phans,0,-1
jumbling,-1,-1
bitchier,-1,-1
heathland,0,0
fancast,-1,1
destigmatise,-1,-1
enflames,-1,-1
sandies,0,0
sandier,1,1
midgame,-1,-1
dangdut,0,0
phane,0,0
afikoman,0,0
wana,0,0
subgenus,0,0
wang,1,0
wand,0,0
hyatt,0,0
wank,-1,0
wani,0,0
fluorite,0,0
disparagement,-1,-1
titanium,-1,0
insectarium,0,0
dishearteningly,-1,-1
want,1,1
azurite,0,0
rayon,0,0
pinto,0,0
agencyfaqs,1,1
cocksucker,-1,-1
nondiscretionary,0,-1
sugarless,1,0
duniya,1,0
alocal,0,0
travel,0,0
shirked,-1,-1
copious,1,1
equivalencies,0,0
airlocks,0,0
elektrarne,1,0
krait,0,0
goiters,-1,-1
periodontology,1,0
actionscript,-1,0
prostitues,0,-1
confidentialities,-1,1
shirker,-1,-1
selfesteem,1,-1
baladi,0,0
worriedly,-1,-1
befouls,-1,-1
uselessness,-1,-1
midwifing,1,0
goober,-1,0
poetries,1,0
assimilated,1,1
brusing,-1,-1
flossin,-1,1
outfight,1,1
mouflon,0,0
dinosaurs,0,0
wrong,-1,-1
calidad,1,0
wristlet,0,0
millages,0,0
stollen,0,0
sentencing,0,0
sulphite,-1,0
arranger,1,0
assimilates,1,0
colorfully,1,0
cameraphone,1,0
screwin,-1,1
inlicensing,1,0
recombination,-1,0
caisson,0,0
gearshifter,1,1
subplots,-1,0
followspot,1,1
kiloton,1,0
snowshed,0,0
pricers,0,0
ligustrum,0,0
capitalizable,-1,1
disengaging,-1,-1
smashers,1,0
kuen,0,0
snugly,1,0
kuei,0,0
secondlargest,-1,0
welcomed,1,1
liberalises,-1,-1
concurrence,0,0
aromatically,1,1
stoicism,1,0
tages,0,0
conciously,-1,-1
visuality,-1,1
prothonotary,-1,0
butcher,0,0
concurrency,-1,0
beerhall,0,-1
mischance,-1,-1
duece,0,1
activating,-1,0
interational,1,1
welcomes,1,1
fir,1,0
fis,1,0
wickedly,1,1
fit,1,1
labratory,0,0
lifeline,1,0
screaming,-1,-1
fix,-1,-1
bienniums,0,0
breastroke,1,0
conterminous,1,0
folate,0,0
fib,-1,-1
fic,1,0
fia,1,0
gluepot,1,1
fig,0,0
fid,1,0
fie,1,0
reentered,-1,1
truants,0,0
nutraceuticals,0,0
fin,0,0
bankrupts,-1,-1
fil,1,0
fim,-1,0
freebasing,-1,0
unpeg,0,-1
foolin,1,0
songwriter,0,0
coadministered,-1,0
tresspassing,0,-1
collge,1,0
vouchers,0,-1
marabouts,0,0
hypoxic,-1,0
hypoxia,-1,0
seducing,-1,-1
effects,-1,-1
uncooperativeness,-1,-1
paraan,1,0
fannies,0,1
whacking,-1,1
castigating,-1,-1
barton,1,0
disconnection,-1,-1
bartop,0,0
dripline,0,0
rasterizer,1,0
timeout,0,0
overdrove,-1,1
bupkus,1,-1
gaudiest,-1,-1
uninfluenced,1,1
archeologically,0,1
prevous,-1,0
canoeist,0,0
unploughed,0,-1
seedsman,0,1
parasites,0,-1
childen,0,0
dillusional,-1,-1
isyu,1,0
grapefruits,0,0
propoganda,-1,0
distrib,0,0
distric,0,0
metafiction,-1,0
georeferenced,1,0
sioner,-1,0
kown,-1,1
buttercups,0,0
golem,-1,0
wasarrested,0,0
savior,1,0
scrumptiously,0,0
indiscretion,-1,-1
enviroment,0,0
combinatorial,-1,0
adapt,1,1
mazut,0,-1
wapas,1,0
unarmored,-1,0
dinginess,-1,0
size,1,0
widro,0,1
goles,1,0
islandâ,0,-1
nightdress,0,0
abbott,1,0
detangling,0,0
lymphoblasts,-1,-1
abbots,0,0
fansub,-1,0
diminshed,1,-1
makable,-1,1
underfoot,1,1
retaliations,-1,-1
magickal,1,0
mattter,-1,-1
pumpkins,0,0
carryall,0,0
deferments,-1,-1
estimate,-1,0
dgm,1,1
gameplay,1,0
loosies,-1,0
chlorine,-1,0
jugs,0,0
husbands,0,-1
chiari,-1,0
highveld,0,1
disturber,-1,0
criminologists,0,0
sickeningly,-1,-1
jumbojet,1,1
llegar,1,0
absolved,-1,-1
periodization,1,0
carouser,-1,1
disturbed,-1,-1
momment,1,1
portmanteau,-1,0
ineffectively,-1,-1
mendacity,-1,-1
halatuju,1,1
selfs,-1,-1
sketchpads,0,0
loook,1,1
lignan,0,0
breed,0,0
curiouser,-1,0
asf,1,0
implimentation,-1,-1
popularism,-1,-1
rubeola,-1,0
mortarboards,0,0
reciprocally,1,1
outsing,1,1
ission,1,0
stylistics,-1,0
unpractised,-1,-1
megabytes,1,0
feldspar,0,0
saddlecloths,0,0
acoording,1,0
shaheeds,0,0
sterilisations,-1,-1
rett,1,0
olds,0,0
bakelite,0,0
renovated,1,0
forrester,1,0
oldy,-1,0
needed,1,1
renovates,-1,0
master,1,0
extraterrestial,-1,0
lifesciences,1,0
hiya,1,1
fuzziness,-1,-1
genesis,0,0
bioburden,-1,-1
loking,1,1
rewards,1,1
rousts,0,0
enthrall,1,1
oriel,0,0
splendiferous,1,1
yield,1,0
offroading,1,0
precocity,1,1
outjabbed,1,1
integrally,-1,1
mutilated,-1,-1
llegal,-1,-1
hustlin,-1,0
enthrals,1,1
nonconstitutional,-1,-1
accusatorial,-1,-1
heftiest,-1,0
hutongs,0,0
positively,1,1
ahmed,1,0
rewardingly,1,1
bannister,0,0
brees,1,0
anniversaries,0,0
bougainvillaea,0,0
uncurl,-1,1
linggo,1,0
nole,1,1
pseudorabies,0,1
exclaimed,1,1
caroused,0,1
confrere,-1,0
microglial,-1,0
milliwatts,1,0
induna,0,0
shampoos,0,0
feeling,0,-1
anniversaried,-1,1
pasmalltown,1,1
larder,0,0
drlg,1,0
womanless,-1,-1
macing,-1,-1
andadministrative,1,-1
codeine,0,0
myositis,-1,0
chunkin,0,0
craven,-1,-1
kennelling,0,-1
spiff,1,-1
peacoat,0,0
pandemics,-1,0
recapitalized,-1,0
worlders,-1,0
themepark,-1,0
dedupe,1,0
labradors,0,0
brawns,1,0
phwoar,-1,1
affairs,-1,0
erklärt,1,0
ostracisation,-1,-1
wholesome,1,1
sitio,0,0
hymen,0,0
disasterassistance,0,0
paramedics,0,0
bhaang,0,0
arpeggiated,1,0
vga,-1,0
relaxations,0,0
microprinting,-1,0
chloromethane,-1,0
diasters,-1,-1
affaire,1,0
unmolded,0,1
opciones,1,0
greenback,0,0
shipments,0,0
pixilated,-1,-1
rakings,-1,0
unknot,0,0
memebers,0,0
downhillers,0,0
diminishing,-1,-1
blogger,-1,0
cinematic,-1,1
resonates,1,1
simplify,1,0
zanu,-1,0
temptresses,-1,-1
reverence,1,1
amps,1,0
resonated,1,-1
unburdens,-1,-1
redesigner,0,0
pseudonymously,-1,0
platteland,0,0
kaali,1,0
majo,0,0
kiya,1,0
tect,1,0
kaala,0,0
purges,0,0
vertices,-1,0
goonda,0,0
ragnarok,1,0
nettle,1,0
ewwel,1,0
immedately,-1,-1
tech,-1,0
paneling,0,0
expectorants,0,0
teck,0,0
promiscuously,-1,-1
subretinal,-1,0
kuliglig,0,-1
purged,-1,-1
trollers,0,0
saying,-1,0
crunked,1,1
braising,0,0
weā,1,1
fugazy,-1,-1
disassociation,-1,-1
dicker,-1,-1
minimall,0,0
padded,1,0
dropshotting,0,1
midengine,1,1
tromps,0,0
andolan,0,0
tempted,-1,-1
architectonics,1,0
guillotining,-1,-1
hounded,-1,-1
congruently,1,1
acamprosate,-1,-1
apace,1,1
photodetector,-1,0
clicked,-1,1
excavator,0,0
miércoles,1,0
shoppping,0,1
sugardaddy,0,0
stromuhr,1,1
clicker,0,0
statehouse,0,0
geofences,0,0
bullshitter,-1,-1
turduckens,0,0
biomineral,-1,0
télécommunications,1,0
hoeing,0,1
familles,1,0
plate,0,1
plata,1,0
plato,1,0
benazepril,-1,1
depressurise,-1,-1
inflame,-1,0
frolf,0,0
clumsiness,-1,-1
altogether,1,-1
boatowners,0,0
rugged,1,0
uncleanliness,-1,-1
platz,0,0
icebreakers,0,0
droning,-1,-1
humidification,0,0
superfamily,-1,0
jaguar,0,0
onight,-1,1
polytrack,1,1
nicely,1,1
uplegs,0,0
fourthplace,1,1
sunod,1,0
yohimbe,0,0
patch,0,0
ratecard,-1,-1
crticism,-1,-1
organsiers,0,0
dabbawallahs,0,0
bayah,0,1
localvores,0,0
circling,0,0
maracatu,0,0
precluding,-1,-1
programmatic,1,0
oppposition,-1,-1
heirloom,0,0
blooze,1,0
pinon,0,0
etic,1,-1
pinot,0,0
gearmotor,1,0
hexyl,-1,0
morgen,1,0
snowcats,0,0
scripting,-1,0
fauxmance,-1,-1
slattern,-1,-1
claystone,-1,0
pinoy,1,0
hackintosh,-1,0
edgiest,1,0
dishwash,0,0
pucksters,1,1
advisedly,-1,-1
lots,1,1
irs,0,0
snakecharmer,1,0
motional,1,-1
pasturage,0,0
lott,1,0
xvi,1,0
iri,1,0
tidewaters,0,0
irk,-1,-1
irl,-1,0
timesheets,1,1
iro,1,0
conductive,-1,0
ira,1,0
lota,0,0
offertory,1,0
cordoned,0,0
ire,-1,-1
nonconstruction,0,-1
requisites,1,1
spectrometers,1,0
redistricting,-1,0
natura,1,0
gites,0,0
extend,1,0
nature,1,0
ask,1,-1
daijiworld,0,0
fruits,0,1
lapping,0,1
ultrasonics,-1,0
basswood,0,0
accreditated,1,1
cistus,0,0
lewisite,-1,0
extent,-1,0
bushbuck,0,0
tendons,0,0
peerperform,1,0
crêperie,0,0
theatening,-1,-1
chainstays,1,0
cinchers,0,1
myoclonic,-1,0
airflow,-1,0
dilantin,-1,-1
diyat,0,0
hotswap,-1,0
sleepiest,-1,0
lookit,-1,1
ravenously,0,0
taxdollars,-1,0
levitating,1,0
kibitzers,0,-1
narcoterrorists,0,0
alegedly,0,-1
finfish,0,0
lookin,1,0
eruv,0,0
lookie,-1,-1
fearlessly,1,0
zigged,1,0
libyan,-1,0
fireplugs,0,0
townmates,0,1
foreclosing,-1,-1
pulut,0,0
fondles,-1,0
fondler,-1,-1
limitedly,0,1
gopher,0,0
wearying,-1,-1
unhealed,-1,-1
fondled,-1,0
aromatherapeutic,1,0
minuses,-1,-1
niya,1,0
embarkations,0,0
evolutionist,-1,0
escalade,0,0
brindle,0,1
humming,-1,1
niyo,1,0
brainwashes,-1,-1
smackdown,0,0
pastored,0,0
fra,1,0
underdone,-1,-1
insatiably,-1,0
fre,1,0
triviality,-1,-1
northsiders,0,0
fri,0,0
grotto,0,0
fro,1,0
frm,1,0
communicants,0,0
bothers,-1,-1
much,1,1
nosema,0,0
chink,-1,-1
fru,1,-1
saute,0,0
unstick,-1,-1
unleavened,0,0
fry,0,0
aphrodisiacal,-1,-1
boatneck,0,0
endemism,0,0
toning,1,0
obese,-1,-1
sensationalized,-1,-1
spiv,-1,-1
spit,-1,-1
barque,0,0
jeou,0,0
ecofriendly,1,1
hepa,-1,0
spic,1,1
fibroblast,-1,0
satrapies,0,0
tagless,1,0
sensationalizes,-1,-1
millefiori,0,0
doubts,-1,-1
sentencers,-1,-1
spin,-1,0
propellants,-1,0
skilfully,1,1
wildcat,0,0
intae,1,0
unecessary,-1,-1
backsplashes,0,0
misconstrues,-1,-1
hectoliter,0,0
preempting,-1,0
eclectics,1,0
contingencies,1,0
professionally,1,1
paraglider,0,0
microbiological,-1,0
phenelzine,-1,0
misconstrued,-1,-1
rescinds,-1,-1
unloading,-1,-1
reposessions,-1,-1
ticos,1,0
mechanising,-1,0
excersise,0,1
prostrate,-1,0
unbusinesslike,-1,-1
polysaccharide,0,0
suspiciousness,-1,-1
biddies,0,-1
moraines,0,0
cupful,0,0
biometeorology,1,1
saltiness,0,0
canoeing,0,0
riparian,0,0
hyperpolarization,-1,0
toxically,-1,-1
kohl,0,0
conditioned,1,1
kohr,1,0
teledata,1,0
taraweeh,0,1
hyperdrive,-1,0
conditioner,0,0
ogni,1,0
backhauling,1,0
hone,1,1
unpolarized,-1,0
hong,1,0
memoriam,1,0
inventively,1,0
alstria,1,1
portobella,0,0
ciborium,0,0
portobello,0,0
remand,0,0
hono,1,1
mummified,0,0
honk,0,1
pedestrianise,0,0
honu,0,0
spews,-1,0
peristaltic,-1,0
hons,1,0
visitations,0,0
provincials,1,1
pricipal,1,0
remans,-1,-1
fireweed,0,0
desea,1,-1
flipflops,0,-1
myocardial,-1,0
outspends,-1,-1
brutalises,-1,-1
torpedoes,-1,0
cyclingnews,1,0
tangibility,1,1
inquorate,-1,-1
staphylococci,-1,0
karabiner,0,0
torpedoed,-1,-1
downwardly,0,-1
petaled,0,0
microchimerism,-1,0
webisodic,-1,1
furlough,0,0
peremptory,-1,-1
noblewoman,0,0
denaturing,-1,0
mentors,1,1
woodworkers,0,0
academic,1,0
stillness,1,0
academia,0,0
lonelier,-1,0
sharemarket,-1,0
cineastes,0,0
levelof,1,1
corporate,-1,0
massaging,1,0
benignity,-1,-1
provincal,0,0
bellow,-1,0
sundrenched,0,1
absurdities,-1,0
appropriately,1,1
biopsying,-1,0
múm,1,0
psychometrics,1,0
theocon,-1,-1
hushpuppies,0,0
waterboard,-1,0
visability,0,0
militarily,0,0
lassi,0,0
juicio,1,0
dtac,1,0
immeadiately,-1,1
assurity,1,1
lasso,0,0
hah,1,0
hai,1,0
upsides,1,1
hak,0,0
hal,1,0
ham,0,-1
han,1,0
hao,0,0
toeless,0,0
haa,1,0
hab,1,0
hac,-1,0
had,1,-1
hae,1,0
haf,1,1
hag,0,-1
reservationist,0,0
hay,0,0
haz,1,-1
suspicionless,-1,-1
yle,1,0
conformer,-1,0
bloggery,-1,-1
noshers,0,0
duffel,0,0
haq,1,0
har,1,0
has,1,-1
hat,1,0
hau,0,0
hav,1,0
haw,1,0
rescaled,-1,1
eldery,-1,-1
municipal,0,0
moleskine,1,0
elders,0,0
nefariousness,-1,-1
gatehouse,0,0
constrictors,0,0
unequivocally,1,1
objective,1,0
dagat,1,0
indicative,1,0
compaction,0,0
yawnfest,-1,-1
regnant,-1,0
riskiness,-1,-1
tennants,0,0
sleuthing,0,0
overgrazed,0,-1
gravimetry,1,0
semi,1,0
whitecollar,-1,0
fournir,1,0
emphasied,1,-1
studiousness,1,1
chemisorption,-1,0
fournit,1,0
unning,0,0
thesuccess,1,1
utilites,0,0
strophic,1,0
rifting,-1,0
shipyard,0,0
nighties,0,0
misdemeanors,-1,-1
virality,1,1
unabashedly,-1,0
crystaline,-1,0
proffers,1,0
defragmenter,-1,0
spacewalks,0,0
crowd,0,0
functionalized,-1,0
czech,1,0
mosques,0,0
noninteractive,1,1
crown,0,0
offinancial,1,-1
deflection,1,0
crows,0,0
mishit,1,1
azienda,1,0
emphases,-1,-1
jurisprudents,-1,0
hardheadedness,-1,-1
fiduciary,1,-1
laminaria,-1,0
childrenâ,1,-1
milliohms,1,0
botton,-1,0
bottom,-1,1
frus,-1,-1
lockdown,0,0
inhuman,-1,-1
postward,1,0
nearsightedness,-1,0
subc,-1,0
frum,0,1
syphilis,-1,0
completly,1,-1
gallivants,0,0
orginial,-1,0
birthmothers,0,0
biodrama,-1,0
moviedom,-1,0
paniced,-1,-1
orimulsion,0,0
brigades,0,0
starring,-1,0
incurability,-1,-1
caskets,0,0
accelerations,1,1
visitng,0,0
restlessness,-1,-1
benches,0,0
euthenized,-1,-1
decomissioning,-1,0
anomalous,-1,-1
chahta,1,0
officeholders,0,0
geraniol,0,0
benched,-1,-1
apomorphine,-1,0
ashlar,0,0
marchitecture,-1,1
vonage,-1,0
skyscape,0,0
trampolines,0,0
bumagsak,1,1
cessations,1,-1
dahlings,0,1
lemmings,0,-1
numerated,-1,-1
bobwhite,0,0
vicegerent,1,1
marshall,0,0
honeymoon,0,0
nongovernmental,0,0
gelling,1,1
shooty,-1,0
gasholder,0,0
swelter,-1,0
mangos,0,0
cementitious,-1,0
shoots,0,1
technol,1,1
leff,0,0
appropriators,0,0
despised,-1,-1
fabric,0,0
definiteness,-1,0
handmaidens,-1,-1
hippee,0,1
raped,-1,-1
jellylike,-1,-1
shotted,0,0
impracticability,-1,-1
grasping,-1,-1
despises,-1,-1
bearding,1,0
cautioning,-1,-1
rapes,-1,0
acquainting,1,1
avocados,0,0
nondiversified,1,-1
appeasements,-1,-1
triparty,1,1
perfumer,0,0
perfumes,0,0
spurting,-1,0
bopd,0,1
cyberespionage,-1,0
perfumey,-1,1
hunkiest,-1,0
denoting,1,0
thesaurus,0,0
dowser,0,0
multiproduct,1,0
scoter,0,0
perfumed,-1,0
dowsed,-1,0
bridgework,0,0
hearteningly,1,1
incinerator,0,0
bazi,0,0
unliveable,-1,-1
congratulations,1,1
panettone,0,0
humbled,1,1
toolkits,1,0
rippling,1,0
layin,0,0
izakaya,0,0
rewords,-1,-1
laicism,-1,-1
boneshaker,0,0
humbler,1,1
humbles,1,1
nicest,1,1
barkin,-1,0
solders,0,0
soldering,-1,0
prepration,1,0
ersol,1,1
relabelling,-1,-1
passenger,0,0
discountenance,-1,-1
disgrace,-1,-1
moderne,1,0
fourballs,0,0
squishiness,-1,-1
biden,-1,0
photomultipliers,-1,1
moderns,-1,0
rechecking,-1,-1
bedsheet,0,0
decapitation,-1,0
reneg,-1,-1
bhat,0,0
peanutty,1,1
geomicrobiology,1,0
effusions,-1,0
slurring,-1,-1
zavod,1,0
premarin,-1,0
dihydroergotamine,-1,0
hattrick,1,0
reestimates,-1,-1
aphasic,-1,0
crowns,0,0
facelifted,1,0
unsustainability,-1,-1
underfed,-1,-1
sandfish,0,0
shotter,1,1
carbonaceous,-1,0
underinsurance,-1,-1
oxygenates,0,0
edifies,1,1
wordlessly,1,0
appologize,-1,-1
lores,0,0
misdealings,-1,-1
thoroughgoing,-1,-1
palms,0,0
loudhailer,0,0
foyers,0,0
disctrict,0,0
ailanthus,0,0
palmy,0,0
affinis,0,0
disher,1,1
conservatively,1,1
cyanosis,-1,0
ornateness,1,0
smelling,-1,1
bhav,0,0
lariats,0,0
hawker,0,0
explosions,0,0
soteriology,-1,0
reabsorption,-1,0
exuberantly,1,0
hemiarthroplasty,-1,-1
shootout,0,0
windsocks,0,0
hypoallergenic,1,1
farewelling,1,1
soundbar,1,1
loquats,0,0
multifocal,-1,0
exce,1,1
quadbike,0,0
prosthodontic,-1,0
snoose,0,0
explusions,0,0
steelhead,0,0
disaffiliation,-1,-1
childr,0,0
childs,1,-1
chaim,1,0
chain,0,0
whoever,0,1
micaceous,0,0
preapproval,-1,-1
allá,1,0
puttered,0,0
aspartate,-1,0
ingroup,-1,0
exco,0,0
archivally,0,0
chair,0,0
chais,0,0
primeval,1,0
macht,1,0
objectional,-1,-1
ballet,0,0
amplification,1,0
hechsher,0,-1
grappler,0,0
pell,1,0
maaari,1,0
precognition,-1,0
freelance,-1,0
atithi,1,0
megawatts,0,0
lara,0,0
dailystar,1,0
indiplon,-1,0
mache,0,0
balled,-1,-1
grappled,-1,-1
macha,0,0
camarones,0,0
denervation,-1,0
parimutuel,0,0
larg,1,1
obssessed,-1,-1
macho,-1,-1
oversight,-1,0
machi,0,0
larf,-1,1
tenacious,1,1
galljdaj,-1,-1
octagonal,1,0
paychecks,0,-1
flatbed,0,0
jerk,0,-1
dropboxes,0,0
minuts,0,1
ameba,0,0
chinstraps,0,0
quiltmaking,0,0
prances,0,0
biopharmaceuticals,1,0
resthome,0,0
bhar,1,0
lark,1,1
embark,0,0
gloomy,-1,-1
minuto,1,0
flensing,0,0
crackdowns,0,0
themedia,-1,-1
simper,-1,0
pranced,0,0
exact,-1,0
minute,0,0
deranging,-1,-1
radezolid,-1,1
reining,1,0
prizemoney,1,0
pela,1,0
flipbook,1,0
dhufish,0,0
arbitrager,-1,-1
homebody,-1,1
skewed,-1,-1
usuable,-1,0
erasures,-1,-1
nonesense,-1,-1
shelley,0,0
skewer,0,0
reimpose,0,0
brate,1,0
multiprocessing,1,0
isobars,0,0
neuroprosthetics,-1,0
decepticons,-1,0
xenophobe,-1,0
roundworm,-1,0
hindered,-1,-1
dedusting,-1,0
copyrighted,-1,0
specked,-1,0
sangha,0,0
ogles,-1,1
controllables,1,1
gnawed,0,-1
chopping,0,0
bastardisation,-1,-1
collaspe,-1,-1
ogled,-1,0
myotonic,-1,0
multicasting,1,0
adorns,1,0
bagging,-1,1
lakeshores,0,0
corazon,1,0
chimichanga,0,0
celebrated,1,1
previsto,1,0
storability,1,1
previewer,-1,0
gnostics,-1,-1
cheeseburgers,0,0
underrecovery,0,-1
developping,-1,-1
geography,0,0
celebrates,1,1
unintentionally,-1,-1
performant,1,1
drafted,-1,-1
langars,0,0
sevoflurane,-1,0
soundbite,-1,0
oldies,0,0
hydroslide,0,0
climbs,0,0
blunted,-1,-1
topicality,1,0
plucking,0,0
restiveness,-1,-1
kitniyot,0,0
wheatish,0,1
guilts,-1,-1
uff,1,0
owuld,1,1
address,-1,0
dwindling,-1,-1
ponding,-1,-1
benson,1,0
fourwheeler,0,0
shamelessness,-1,-1
gnar,1,1
fledge,0,1
impacted,-1,-1
cette,1,0
avaient,1,0
queue,0,-1
staters,0,0
snowbirds,0,0
sprouted,0,0
autoantigen,-1,0
atrioventricular,-1,0
expressively,1,1
neigbourhood,0,0
influx,-1,0
stockbuilding,0,0
nondisruptively,1,0
commoditised,-1,-1
unreconstructed,-1,-1
houseman,0,0
prepositional,-1,0
disinterestedness,-1,1
untilled,0,0
wiehed,1,0
fered,1,0
premolar,-1,0
européenne,1,0
womenswear,0,0
randoms,-1,0
fakers,0,-1
earnout,1,1
scaloppini,0,1
immunising,0,0
hypofractionated,-1,1
eggwhite,0,1
fakery,-1,-1
talkfests,-1,0
nals,1,0
undergone,1,0
opposer,-1,0
cockies,0,0
handbags,0,0
declamations,1,0
perished,-1,0
immunomodulation,-1,1
wane,-1,-1
gulags,-1,0
gibbons,0,0
cockfighting,0,0
opposed,-1,-1
annunciate,-1,1
etude,1,0
liberalizing,-1,-1
pavilions,0,0
perishes,-1,-1
phytosterol,0,0
dampness,-1,-1
suckas,-1,0
consoled,1,1
nanorobot,-1,0
varient,0,0
wann,1,1
chello,1,0
tumblehome,0,0
ooooooh,1,1
approving,-1,-1
appeallate,-1,-1
consoles,-1,0
consoler,1,0
edgeways,0,1
intravesical,-1,0
conférence,1,0
rebounding,1,1
lowercase,-1,0
neosoul,1,0
wans,1,-1
quicksteps,0,0
consession,0,0
oscillator,-1,0
favorables,-1,-1
umno,-1,0
telepics,-1,0
goody,0,-1
following,1,0
overhitting,1,1
blns,-1,0
hypernatremia,-1,-1
pinta,0,0
nanobiology,1,0
osage,0,0
meatgrinder,-1,-1
sunrays,0,0
micrometastases,-1,0
employess,0,0
stetson,0,0
upthecherries,0,1
gillnets,0,0
mailboxes,0,0
darauf,1,0
ghagra,0,0
oatmeal,0,0
sheeters,0,0
livered,1,1
bastante,1,1
listens,1,-1
wolfsbane,0,0
bibliographical,1,0
reprioritised,-1,-1
qυісk,1,-1
lulav,0,0
participer,1,1
irrationalism,-1,0
thanking,1,1
woreda,0,0
ounce,0,0
cecal,-1,0
osteolytic,-1,-1
homophile,-1,0
chicklet,-1,0
consolidator,1,0
democratises,1,1
retiming,0,-1
mintues,0,1
restitutions,-1,-1
meddler,-1,-1
meddles,-1,-1
fueler,0,0
casualness,1,0
epidemiologic,-1,0
sour,-1,-1
convincingly,-1,1
fueled,1,0
laxative,-1,0
echidna,0,0
superceding,-1,-1
guvmint,-1,-1
telecine,1,0
willnot,-1,-1
clammers,0,0
longliner,0,0
stapes,-1,0
insitute,0,0
harmon,1,0
surfine,-1,0
surfing,0,0
trialler,1,1
sandeep,1,0
aleviate,-1,-1
philly,1,0
remotes,0,0
taramasalata,0,0
quadrant,0,0
inhabiting,-1,0
nebbish,-1,0
trialled,1,1
benzopyrene,-1,-1
jured,-1,-1
forebears,1,0
subsisting,0,-1
skirmish,-1,0
mοѕt,1,0
